Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,word_count
3084,116,51,3,How are you feeling? OK? The key is to concentrate. After that you just have to...,16
3091,116,51,3,Oh um.. Sorry I'll just go.,6
3103,116,51,3,Your wand harry! Your wand!,5
3122,116,36,3,Look at this! I can't believe it she's done it again. Miss Granger a plain but ambitious girl seems to be developing a taste for famous wizards. Her latest prey sources report is none other than the Bulgarian bon-bon Viktor Krum. No word yet on how Harry Potter's taking this latest emotional blow.,53
3131,116,36,3,They're not for Ginny they're for you! Dress robes.,9
3157,118,36,3,It might interest you to know that Neville's already got someone.,11
3162,118,36,3,I won't be going alone because believe it or not someone's asked me. And I said yes.,17
3218,119,36,3,Hot isn't it? Viktor's gone to get drinks. Care to join us?,12
3220,119,36,3,What's got your wand in a knot?,7
3222,119,36,3,"The enemy?? Who was it wanting his autograph? Besides, the whole point of the tournament is international magical cooperation, to make friends.",22
3227,119,36,3,How dare you! Besides I can take care of myself.,10
3229,119,36,3,What? What? That's what you think?,6
3231,119,36,3,You know the solution then don't you.,7
3233,119,36,3,"Next time there's a ball pluck up the courage and ask me before somebody else does, and not as a last resort.",22
3235,119,36,3,Where have you been? Nevermind! Off to bed both of you.,11
3237,119,36,3,Ron you spoil everything!,4
3241,120,29,3,Harry you told me you'd figured the egg out weeks ago. The task is two days from now.,18
3243,120,29,3,"I wouldn't know, we didn't actually talk about the tournament. Actually we didn't really talk at all, Viktor's more of a physical being. I just mean he's not particularly... Mostly he watches me study. It's a bit annoying actually. You are trying to figure this egg out aren't you?",49
3245,120,29,3,"I mean these tasks are supposed to test you, in the most brutal way they're almost cruel. And um, I'm scared for you. You got by the dragon mostly on nerve, I'm not sure it's going to be enough this time.",41
3265,120,44,3,"Harry, tell me again.",4
3267,120,44,3,"The black lake, that's obvious.",5
3269,120,44,3,"Again obvious, though I must admit potentially problematic",8
3271,120,44,3,"Look Harry, we can do this. The three of us can figure it out.",14
3273,120,44,3,"But sir, the second task is only hours away and...",10
3308,121,37,3,Are you alright? You must be freezing! Personally I think you behaved admirably.,13
3489,130,58,3,Everything's going to change now isn't it?,7
3491,130,58,3,Promise you'll write this summer. Both of you.,8
3493,130,58,3,Harry will won't you?,4
3602,134,7,3,"Oh, Harry! We've missed you! Are you furious with us, I bet you are!",14
3605,134,7,3,"Sorry we haven't written, Harry, but Dumbledore made us promise not to.",12
3609,134,7,3,He was so angry when he heard. It was...scary...,9
3618,134,7,3,"Some of the Order are following known Death Eaters, like Lucious Malfoy.",12
3620,134,7,3,The Order of the Phoenix. Dumbledore started it last time to fight You-Know-Who. He only reorganized it after last term.,20
3664,134,7,3,"They'll have to let you off, Harry... You were defending",10
3669,134,7,3,Would you like a hug?,5
3772,138,42,3,"Harry, Ron and I, we've been named House Prefects! She hands Harry a letter.",14
3773,138,42,3,"What about you, Harry?",4
3774,138,42,3,Are you sure? I would have thought you would get one!,11
3786,138,42,3,I hope he's all right...,5
3812,140,30,3,I wanted to know something about your course aims.,9
3814,140,30,3,But surely the whole point of Defense against the dark arts is practical application?,14
3818,140,30,3,But we've got O.W.L.s coming up! You expect us to do the spells with no practice?,16
3834,140,30,3,How can Dumbledore let that horrible woman teach? And when we're taking our OWL tests too!,16
3836,140,30,3,"Well, not us specifically, but definitely Dumbledore and the Order.",10
3853,141,39,3,Have you seen Ron? I can't find him anywhere.,9
3855,141,39,3,He's been acting fishy all week. He's up to something.,10
3859,141,39,3,He's got to be taken to the hospital wing.,9
3862,141,39,3,That old hag! She's sick!,5
3864,141,39,3,"Harry, I really think you should tell--",7
3867,141,39,3,Hagrid's still not back yet. I hope he's all right.,10
3869,141,39,3,"Harry, you can't write to him! Owls are being intercepted, it isn't safe.",13
